"","GEO_LEVEL","GEOID","STATEFP","COUNTYFP","COUNTYNS","NAME.x","NAMELSAD","LSAD","CLASSFP","MTFCC","CSAFP","CBSAFP","METDIVFP","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON","NAME","year","totalpopE","totalpopM","whiteE","whiteM","blackE","blackM","asianE","asianM","indigE","indigM","othraceE","othraceM","multiE","multiM","ltnxE","ltnxM","povrateE","povrateM","cpovrateE","cpovrateM","hhincE","hhincM","hsmoreE","hsmoreM","bamoreE","bamoreM","gradmoreE","gradmoreM","unempE","unempM","hlthinsE","hlthinsM","pubinsE","pubinsM","earnE","earnM","giniE","giniM","vachseE","vachseM","allhseE","allhseM","snapE","snapM","foreignbE","foreignbM","renter30E","renter30M","homeownE","homeownM","vacrateE","vacrateM","perc_snaphseE","perc_snaphseM","perc_forbE","perc_forbM","schlE","schlM","age17E","age17M","age24E","age24M","age64E","age64M","age65E","age65M","hhinc_blackE","hhinc_blackM","hhinc_asianE","hhinc_asianM","hhinc_multiE","hhinc_multiM","hhinc_whiteE","hhinc_whiteM","hhinc_ltnxE","hhinc_ltnxM","disability_numE","disability_numM","fips","lifeexpE","lifeexpM","lifeexp_blackE","lifeexp_blackM","lifeexp_ltnxE","lifeexp_ltnxM","lifeexp_whiteE","lifeexp_whiteM","lifeexp_asianE","lifeexp_asianM","dissim_wb","dissim_wh","inter_bw","inter_hw","iso_b","iso_h","state","locality","county.nice","TRACTCE","BLKGRPCE","blockgroup","count","tractnames","tract","tr","pop"
"11","Block Group","510030103031","51","003",NA,NA,"Block Group 1",NA,NA,"G5030",NA,NA,NA,"S",2416049,50071,"+38.1235692","-078.4331531","Block Group 1, Census Tract 103.03, Albemarle County, Virginia","2021",2463,617,85.18,10.43,1.02,1.52,3.9,3.23,0,0.53,0,0.53,2.6,2.39,7.31,6.32,NA,NA,NA,NA,128693,19231,100,8.06,68.47,14.09,30.32,5.99,1.17,2.17,97.73,2.19,5.77,3.17,59279,12846,NA,NA,0,13,813,149,12,21,NA,NA,31.9,64.8,94.2,7.5,0,1.6,1.5,0.03,NA,NA,NA,NA,33.01,4.9,3.13,2.03,56.88,18.51,6.05,2.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","003","Albemarle County","010303","1","1","Albemarle","Hollymead","010303",NA,"2463"
"12","Block Group","510030103032","51","003",NA,NA,"Block Group 2",NA,NA,"G5030",NA,NA,NA,"S",7165391,85147,"+38.1338039","-078.4105498","Block Group 2, Census Tract 103.03, Albemarle County, Virginia","2021",942,249,70.81,7.23,4.35,5.29,0,1.38,0,1.38,0,1.38,10.3,12.55,14.54,12.48,NA,NA,NA,NA,71250,44696,83.45,12.73,22.14,10.15,7.98,7.21,5.66,5.91,88.85,8.17,20.81,10.64,44893,6408,NA,NA,44,67,460,109,0,13,NA,NA,35.3,53.3,75.5,14.3,9.6,14.4,0,0.03,NA,NA,NA,NA,8.39,5.66,2.44,3.06,54.99,13.12,34.18,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","003","Albemarle County","010303","2","2","Albemarle","Hollymead","010303",NA,"942"
"13","Block Group","510030103033","51","003",NA,NA,"Block Group 3",NA,NA,"G5030",NA,NA,NA,"S",2483406,49708,"+38.1141740","-078.4363677","Block Group 3, Census Tract 103.03, Albemarle County, Virginia","2021",2073,310,70.67,12.92,6.27,7.52,13.41,9.73,0,0.63,0,0.63,4.34,3.46,5.31,4.61,NA,NA,NA,NA,97031,29953,94.27,11.8,54.75,9.56,22.25,8.44,5.04,6.3,95.95,2.78,5.31,4.19,50221,14009,NA,NA,0,13,869,158,26,31,NA,NA,52.7,27.2,74.2,11.3,0,1.5,3,0.04,NA,NA,NA,NA,26,6.86,2.46,2.75,43.08,6.37,28.46,8.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","003","Albemarle County","010303","3","3","Albemarle","Hollymead","010303",NA,"2073"
"14","Block Group","510030104011","51","003",NA,NA,"Block Group 1",NA,NA,"G5030",NA,NA,NA,"S",100936439,488819,"+38.1091548","-078.3545240","Block Group 1, Census Tract 104.01, Albemarle County, Virginia","2021",1820,291,88.41,8.48,3.68,3.13,0,0.71,0,0.71,0.71,1.09,1.48,1.69,5.71,5.47,NA,NA,NA,NA,95306,12531,96.72,7.99,55.12,9.97,24.66,9.9,5.05,3.37,94.07,3.57,16.59,5.95,46875,7728,NA,NA,89,65,841,119,0,13,NA,NA,12.4,16.8,72.2,7.9,10.6,7.6,0,0.02,NA,NA,NA,NA,15.55,4.66,4.01,2.65,51.32,4.36,26.98,5.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","003","Albemarle County","010401","1","1","Albemarle","Stony Point-Keswick","010401",NA,"1820"
"15","Block Group","510030104012","51","003",NA,NA,"Block Group 2",NA,NA,"G5030",NA,NA,NA,"S",76410837,316100,"+38.0908341","-078.2760701","Block Group 2, Census Tract 104.01, Albemarle County, Virginia","2021",1245,417,96.14,7.96,1.85,2.08,0,1.04,0,1.04,0,1.04,0,1.04,2.01,3.31,NA,NA,NA,NA,89826,23342,85.83,7.8,43.89,16.84,11.66,5.06,1.37,2.08,88.59,9.08,10.84,3.83,50064,14023,NA,NA,81,80,544,136,17,19,NA,NA,30.7,28.3,75.4,16.3,14.9,14.2,3.1,0.03,NA,NA,NA,NA,29.16,8.73,0.56,1.41,52.93,23.66,15.66,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","003","Albemarle County","010401","2","2","Albemarle","Stony Point-Keswick","010401",NA,"1245"
"16","Block Group","510030104013","51","003",NA,NA,"Block Group 3",NA,NA,"G5030",NA,NA,NA,"S",61105666,397265,"+38.0343040","-078.3546093","Block Group 3, Census Tract 104.01, Albemarle County, Virginia","2021",1185,485,82.11,18.92,14.43,10.43,0,1.1,2.11,3.09,0,1.1,0.08,0.17,1.27,2.13,NA,NA,NA,NA,NA,NA,87.87,19.09,48.53,35.6,8.81,4.42,2.2,2.49,94.18,6.65,5.32,3.52,56480,23300,NA,NA,88,67,708,255,40,45,NA,NA,31.6,27.4,72.4,25.8,12.4,8.3,5.6,0.06,NA,NA,NA,NA,10.72,2.63,3.04,3.52,51.31,8.45,34.18,13.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","003","Albemarle County","010401","3","3","Albemarle","Stony Point-Keswick","010401",NA,"1185"
"17","Block Group","510030104021","51","003",NA,NA,"Block Group 1",NA,NA,"G5030",NA,NA,NA,"S",26890146,382615,"+37.9882982","-078.4071189","Block Group 1, Census Tract 104.02, Albemarle County, Virginia","2021",977,334,97.03,8.27,2.56,4.31,0,1.33,0,1.33,0,1.33,0.41,0.81,0,1.33,NA,NA,NA,NA,73333,32682,89.01,16,44.27,16.63,25.08,14.78,2.25,3.52,98.57,2.66,14.94,10.5,49875,8768,NA,NA,54,53,452,118,0,13,NA,NA,30.5,26.4,61.3,22.8,11.9,11.3,0,0.03,NA,NA,NA,NA,31.93,14.4,1.94,2.91,47.8,21.69,15.56,5.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","003","Albemarle County","010402","1","1","Albemarle","Village of Rivanna","010402",NA,"977"
"18","Block Group","510030104022","51","003",NA,NA,"Block Group 2",NA,NA,"G5030",NA,NA,NA,"S",15430397,161611,"+37.9816363","-078.3511226","Block Group 2, Census Tract 104.02, Albemarle County, Virginia","2021",979,213,73.75,21.84,6.84,8.86,4.8,6.25,0,1.33,0,1.33,11.24,11.28,3.37,3.6,NA,NA,NA,NA,110556,23225,94.48,8.25,57.38,9.81,22.34,7.05,3.01,3.46,97.75,3.3,7.46,6.05,60000,28534,NA,NA,14,16,448,74,0,13,NA,NA,79.4,74,92.2,7.6,3.1,3.5,0,0.03,NA,NA,NA,NA,18.69,8.99,1.74,2.29,36.16,5.93,39.22,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","003","Albemarle County","010402","2","2","Albemarle","Village of Rivanna","010402",NA,"979"
"19","Block Group","510030104023","51","003",NA,NA,"Block Group 3",NA,NA,"G5030",NA,NA,NA,"S",6483125,271420,"+38.0013740","-078.3877525","Block Group 3, Census Tract 104.02, Albemarle County, Virginia","2021",1373,299,93.74,2.27,0,0.95,4.88,4.31,0.29,0.8,0,0.95,1.09,2.46,0,0.95,NA,NA,NA,NA,137464,26129,97.23,4.29,74.61,9.22,41.64,11.74,6.92,6.12,96.5,3.96,9.54,4.89,66346,16750,NA,NA,43,36,640,106,0,13,NA,NA,0,104,95.8,2.2,6.7,5.5,0,0.02,NA,NA,NA,NA,16.1,6.5,5.03,4.37,40.79,6.68,37.44,2.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","003","Albemarle County","010402","3","3","Albemarle","Village of Rivanna","010402",NA,"1373"
"20","Block Group","510030105011","51","003",NA,NA,"Block Group 1",NA,NA,"G5030",NA,NA,NA,"S",12372932,107500,"+38.0589221","-078.4209389","Block Group 1, Census Tract 105.01, Albemarle County, Virginia","2021",1070,281,89.81,10.9,5.05,7.45,2.15,3.7,0,1.21,0,1.21,0,1.21,2.99,4.04,NA,NA,NA,NA,84565,76314,94.88,14.62,59.4,20.13,26.07,11.26,0,2.6,93.27,8.5,20.47,13.11,42713,24897,NA,NA,0,13,400,69,19,29,NA,NA,100,27.8,80.8,10.2,0,3.2,4.8,0.07,NA,NA,NA,NA,21.21,8.67,0.28,1.48,53.93,9.23,23.55,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","003","Albemarle County","010501","1","1","Albemarle","Darden-Key West","010501",NA,"1070"
"21","Block Group","510030105012","51","003",NA,NA,"Block Group 2",NA,NA,"G5030",NA,NA,NA,"S",8304691,54447,"+38.0490345","-078.4329985","Block Group 2, Census Tract 105.01, Albemarle County, Virginia","2021",1843,467,67.39,8.31,5.97,5.44,22.46,17.78,0,0.71,0,0.71,2.55,3.25,1.63,1.8,NA,NA,NA,NA,135817,8506,99.92,34.29,72.82,3.58,30.61,8.56,7.49,8.41,99.95,0.71,4.94,3.25,67415,20471,NA,NA,14,25,748,185,12,19,NA,NA,12.5,28.9,86.9,14.6,1.9,3.3,1.6,0.03,NA,NA,NA,NA,25.34,5.38,3.58,4.24,53.5,6.22,16.71,3.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","003","Albemarle County","010501","2","2","Albemarle","Darden-Key West","010501",NA,"1843"
"22","Block Group","510030105021","51","003",NA,NA,"Block Group 1",NA,NA,"G5030",NA,NA,NA,"S",3316235,164020,"+38.0229045","-078.4446888","Block Group 1, Census Tract 105.02, Albemarle County, Virginia","2021",888,327,82.43,15.08,12.95,12.04,4.62,5.01,0,1.46,0,1.46,0,1.46,0,1.46,NA,NA,NA,NA,70144,10718,100,15.88,61.65,19.12,31.92,18.5,0,2.61,93.02,9.1,13.18,14.27,52571,8105,NA,NA,52,71,594,162,95,88,NA,NA,44.4,20.4,34.7,27.9,8.8,11.7,16,0.14,NA,NA,NA,NA,9.12,15.24,3.38,3.67,48.87,8.19,38.63,13.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","003","Albemarle County","010502","1","1","Albemarle","Pantops","010502",NA,"888"
"23","Block Group","510030105022","51","003",NA,NA,"Block Group 2",NA,NA,"G5030",NA,NA,NA,"S",864841,0,"+38.0303209","-078.4390718","Block Group 2, Census Tract 105.02, Albemarle County, Virginia","2021",1337,237,73,9.67,17.05,10.1,0,0.97,0,0.97,0,0.97,9.95,5.17,0,0.97,NA,NA,NA,NA,135295,14380,98.48,7.96,85.04,9.3,27.84,9.8,3.6,5.92,98.06,2.41,0.97,1.84,73393,11866,NA,NA,128,107,898,157,14,23,NA,NA,26.7,11.9,36.2,9.9,14.3,11.7,1.6,0.03,NA,NA,NA,NA,5.61,4.45,0.9,1.84,61.48,8.52,31.41,7.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","003","Albemarle County","010502","2","2","Albemarle","Pantops","010502",NA,"1337"
"24","Block Group","510030105023","51","003",NA,NA,"Block Group 3",NA,NA,"G5030",NA,NA,NA,"S",575747,13730,"+38.0364998","-078.4483717","Block Group 3, Census Tract 105.02, Albemarle County, Virginia","2021",703,262,59.89,8.14,31.01,24.12,3.56,5.53,4.27,7.37,0,1.85,1.28,2.66,0,1.85,NA,NA,NA,NA,42317,4139,97.57,18.59,66.29,18.59,30.71,12.56,0,3.1,99.72,1.93,5.55,5.27,41009,3712,NA,NA,38,56,515,166,50,63,NA,NA,74.9,30.9,22.2,14.1,7.4,10.6,9.7,0.12,NA,NA,NA,NA,18.07,12.23,5.97,7.91,49.22,18.14,24.89,9.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","003","Albemarle County","010502","3","3","Albemarle","Pantops","010502",NA,"703"
"25","Block Group","510030106021","51","003",NA,NA,"Block Group 1",NA,NA,"G5030",NA,NA,NA,"S",2990772,60977,"+38.0737919","-078.4489089","Block Group 1, Census Tract 106.02, Albemarle County, Virginia","2021",1698,288,88.1,6.83,1.94,2.99,4.18,4.24,0,0.77,0,0.77,3.12,5.04,2.65,2.91,NA,NA,NA,NA,112344,29574,99.39,6.64,80.57,10.18,50.96,11.7,3.98,5.92,96.76,5.13,7.89,5.11,68200,27929,NA,NA,45,49,894,175,9,16,NA,NA,38.2,13.3,52.2,2.4,5,5.4,1,0.02,NA,NA,NA,NA,20.32,5.6,2.71,2.14,49.12,8.59,27.5,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","003","Albemarle County","010602","1","1","Albemarle","Dunlora-Stone Henge","010602",NA,"1698"
"26","Block Group","510030106022","51","003",NA,NA,"Block Group 2",NA,NA,"G5030",NA,NA,NA,"S",1092565,6860,"+38.0601697","-078.4563894","Block Group 2, Census Tract 106.02, Albemarle County, Virginia","2021",1509,297,87.41,7.63,2.12,2.35,1.86,2.89,0,0.86,0,0.86,2.12,3.55,6.49,6.23,NA,NA,NA,NA,108929,33044,100,7.3,67.83,11.75,37.92,8.8,0,1.7,94.96,6.54,5.9,3.73,48750,28236,NA,NA,24,36,746,134,0,13,NA,NA,10.6,22.2,83,10.3,3.2,4.8,0,0.02,NA,NA,NA,NA,17.63,7.43,2.85,3.17,51.62,9.2,24.52,7.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","003","Albemarle County","010602","2","2","Albemarle","Dunlora-Stone Henge","010602",NA,"1509"
